Owner,Name,Id,Source,Destination,Type
Allocation Optimisation,Validated Optimiser Data,P8.D 1,,Pull in Optimiser run to Derivative Override,Round 2 Optimiser Output
Allocation Optimisation,Draft Allocation Plan Created,P8.D 2,Pull in S&OE,,Draft Plan
Allocation Optimisation,Validated SSG Data,P8.D 3,,Pull in S&OE,Slot Spec Gen
Allocation Optimisation,Approved Allocation Plan from Commercial,P8.D 4,,Apply change request & validate vs constraints,Published Plan
Allocation Optimisation,Derivative Override Data,P8.D 5,"Make final changes in line with exception rules
Apply change request & validate vs constraints",,Derivative Override
Allocation Optimiser - Round 1,Validated CS data,P5.D 1,,Create Constraint Scenario,Constraint Scenario Round 1
Allocation Optimiser - Round 1,Approved UPR,P5.D 2,,Create Constraint Scenario,Approved UPR
Allocation Optimiser - Round 1,"Reviewed ""Round 1"" for allocation usage",P5.D 3,Share with Allocation Planners,,Round 1 Optimiser Output
Allocation Optimiser - Round 1,Optimiser data to be validated,P5.D 4,Run optimiser Round #1,Export and Review,Round 1 Optimiser Output
Allocation Optimiser - Round 2,Validated CS data,P7.D 1,,Select Constraint Scenario & Considerations for optimiser,Constraint Scenario Round 2
Allocation Optimiser - Round 2,Optimiser data to be validated,P7.D 2,Run optimiser Round #2,Export and Review,Round 2 Optimiser Output
Allocation Optimiser - Round 2,Agreed constraints to be updated,P7.D 3,Agree changes to UPR / Constraints / Considerations with relevant stakeholders,,Update Constraints
Allocation Optimiser - Round 2,Shared Optimiser Output,P7.D 4,Share with Allocation Planners,,Round 2 Optimiser Output
AS-IS S&OP/E,UPR export for optimisation,P1.D 1,,,Approved UPR
AS-IS S&OP/E,Shared Hard Heijunkas,P1.D 2,,,Hard Heijunkas
AS-IS S&OP/E,Shared Plant Maxes,P1.D 3,,,Plant Maxes
AS-IS S&OP/E,Shared Constraint Scenario #1,P1.D 4,,,Constraint Scenario Round 1
AS-IS S&OP/E,Shared Optimiser Output,P1.D 5,,,Round 1 Optimiser Output
AS-IS S&OP/E,Shared Planning Sheet,P1.D 6,Plan Planning Sheets with Plants,,Planning Sheet
AS-IS S&OP/E,Shared Breakdown Plan,P1.D 7,Send Output Granularity plan Breakdown,,Breakdown Plan
AS-IS S&OP/E,Agreed constraints to be updated,P1.D 8,"
",,Update Constraints
AS-IS S&OP/E,Shared Optimiser Output,P1.D 9,,,Round 2 Optimiser Output
AS-IS S&OP/E,SSG Data,P1.D 10,,,Slot Spec Gen
AS-IS S&OP/E,Share Published Plan,P1.D 11,,,Published Plan
AS-IS S&OP/E,Shared Draft Plan,P1.D 12,,,Draft Plan
